"NUTS_ID","LEVL_CODE","CNTR_CODE","NAME_LATN","NUTS_NAME","MOUNT_TYPE","URBN_TYPE","COAST_TYPE","psi_mean","psi_days","psi_deficit","psi_days_per_year","psi_deficit_per_year","psi_interannual_sd","rape_frac","rape_suit","rape_bad","temf_frac","temf_suit","temf_bad","sunf_frac","sunf_suit","sunf_bad","region_id"
"NL11",2,"NL","Groningen","Groningen",NA,NA,NA,0.449006825685501,328.672973632812,403.326995849609,27.3894157409668,33.6105842590332,0.124674558639526,0.00448768539354205,0.00203245435841382,0.149769082665443,0,0,0,5.11859761900268e-05,2.37025578826433e-05,0.00167648855131119,"NL11"
"NL12",2,"NL","Friesland (NL)","Friesland (NL)",NA,NA,NA,0.458753049373627,335.807220458984,396.192749023438,27.9839363098145,33.0160636901855,0.132217139005661,0.000480695365695283,0.000218652188777924,0.0159846339374781,0,0,0,0,0,0,"NL12"
"NL13",2,"NL","Drenthe","Drenthe",NA,NA,NA,0.463302463293076,339.137359619141,392.862609863281,28.2614479064941,32.7385520935059,0.135239094495773,0.00220232107676566,0.00105778255965561,0.069816842675209,0,0,0,5.85979541938286e-05,2.85714104393264e-05,0.00183161918539554,"NL13"
"NL21",2,"NL","Overijssel","Overijssel",NA,NA,NA,0.487605005502701,356.926849365234,375.073120117188,29.7439060211182,31.2560958862305,0.141794234514236,0.0017073224298656,0.000847980787511915,0.0524198412895203,0,0,0,4.93545048811939e-05,2.48699179792311e-05,0.00149355968460441,"NL21"
"NL22",2,"NL","Gelderland","Gelderland",NA,NA,NA,0.512075901031494,374.839538574219,357.160461425781,31.2366275787354,29.7633724212646,0.151870563626289,0.0020891185849905,0.00109695829451084,0.060521773993969,0.0312812067568302,0.0164736025035381,0.903263807296753,0,0,0,"NL22"
"NL23",2,"NL","Flevoland","Flevoland",NA,NA,NA,0.502008736133575,367.470397949219,364.529602050781,30.6225318908691,30.3774662017822,0.145466849207878,0.000258993648458272,0.000130206695757806,0.00785600394010544,0,0,0,0,0,0,"NL23"
"NL32",2,"NL","Noord-Holland","Noord-Holland",NA,NA,NA,0.486053735017776,355.791351318359,376.208618164062,29.6492786407471,31.3507175445557,0.146326065063477,0.000648309884127229,0.00030238603358157,0.0211013555526733,0,0,0,0,0,0,"NL32"
"NL34",2,"NL","Zeeland","Zeeland",NA,NA,NA,0.557237327098846,407.897735595703,324.102294921875,33.9914779663086,27.00852394104,0.160293877124786,0.000413516478147358,0.000229481607675552,0.0106944926083088,0.00794568751007318,0.00455255201086402,0.206981241703033,0,0,0,"NL34"
"NL35",2,"NL","Utrecht","Utrecht",NA,NA,NA,0.518984317779541,379.896514892578,352.103485107422,31.6580448150635,29.3419589996338,0.157504856586456,0.000369794928701594,0.000191568993614055,0.0108717828989029,0,0,0,0,0,0,"NL35"
"NL36",2,"NL","Zuid-Holland","Zuid-Holland",NA,NA,NA,0.522631824016571,382.566497802734,349.433471679688,31.880542755127,29.1194534301758,0.161106392741203,0.000363506813300774,0.000184542703209445,0.0103345364332199,0,0,0,0,0,0,"NL36"
"NL41",2,"NL","Noord-Brabant","Noord-Brabant",NA,NA,NA,0.549049496650696,401.904235839844,330.095794677734,33.492015838623,27.5079822540283,0.150886222720146,0.000300006358884275,0.000163546588737518,0.00832404661923647,0.051698487251997,0.0285373497754335,1.41282939910889,0,0,0,"NL41"
"NL42",2,"NL","Limburg (NL)","Limburg (NL)",NA,NA,NA,0.56168121099472,411.150665283203,320.849304199219,34.2625541687012,26.7374420166016,0.144854083657265,0.00144007953349501,0.000809894001577049,0.0384413190186024,0.0453949086368084,0.0255106817930937,1.21293807029724,0,0,0,"NL42"
"BE10",2,"BE","Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest",NA,NA,NA,0.567099511623383,415.116821289062,316.883117675781,34.5930709838867,26.4069290161133,0.157133176922798,0.00211897515691817,0.00121030199807137,0.0554290637373924,0.00191036099568009,0.00109336548484862,0.0498367175459862,0,0,0,"BE10"
"BE21",2,"BE","Prov. Antwerpen","Prov. Antwerpen",NA,NA,NA,0.568982362747192,416.495086669922,315.5048828125,34.7079238891602,26.2920742034912,0.152480229735374,0.000192357721971348,0.000108710875792895,0.00510245794430375,0.00766903115436435,0.00436655431985855,0.201451107859612,0,0,0,"BE21"
"BE22",2,"BE","Prov. Limburg (BE)","Prov. Limburg (BE)",NA,NA,NA,0.577286422252655,422.573638916016,309.426391601562,35.214469909668,25.7855319976807,0.150191888213158,0.000981649849563837,0.000553736812435091,0.0261026937514544,0.00883272849023342,0.00506433751434088,0.22987188398838,0,0,0,"BE22"
"BE23",2,"BE","Prov. Oost-Vlaanderen","Prov. Oost-Vlaanderen",NA,NA,NA,0.576357364654541,421.893615722656,310.106384277344,35.1577987670898,25.8421993255615,0.164586991071701,0.000249331846134737,0.0001439701882191,0.00642706220969558,0.00877144280821085,0.0050608734600246,0.226344704627991,0,0,0,"BE23"
