"crop","metric","rank","region_id","NUTS_ID","NAME_LATN","value"
"rape","crop_bad",1,"DE80","DE80","Mecklenburg-Vorpommern",2.5690290927887
"rape","crop_bad",2,"DED4","DED4","Chemnitz",2.08981394767761
"rape","crop_bad",3,"DEF0","DEF0","Schleswig-Holstein",2.0127284526825
"rape","crop_bad",4,"DEG0","DEG0","Thüringen",1.91271603107452
"rape","crop_bad",5,"DED5","DED5","Leipzig",1.78076338768005
"rape","crop_bad",6,"DEB2","DEB2","Trier",1.66785144805908
"rape","crop_bad",7,"DED2","DED2","Dresden",1.50820302963257
"rape","crop_bad",8,"DEE0","DEE0","Sachsen-Anhalt",1.50283646583557
"rape","crop_bad",9,"DEB1","DEB1","Koblenz",1.42817401885986
"rape","crop_bad",10,"DEB3","DEB3","Rheinhessen-Pfalz",1.3447859287262
"rape","crop_suit",1,"DED5","DED5","Leipzig",0.0105720870196819
"rape","crop_suit",2,"DE80","DE80","Mecklenburg-Vorpommern",0.00967233814299107
"rape","crop_suit",3,"DEB3","DEB3","Rheinhessen-Pfalz",0.0093730054795742
"rape","crop_suit",4,"DED4","DED4","Chemnitz",0.00836618151515722
"rape","crop_suit",5,"DEE0","DEE0","Sachsen-Anhalt",0.008290178142488
"rape","crop_suit",6,"DEG0","DEG0","Thüringen",0.00790563225746155
"rape","crop_suit",7,"DED2","DED2","Dresden",0.00779385399073362
"rape","crop_suit",8,"DEB2","DEB2","Trier",0.00708760134875774
"rape","crop_suit",9,"DEB1","DEB1","Koblenz",0.00683336658403277
"rape","crop_suit",10,"DEF0","DEF0","Schleswig-Holstein",0.005850815679878
"temf","crop_bad",1,"NL41","NL41","Noord-Brabant",1.50944888591766
"temf","crop_bad",2,"NL42","NL42","Limburg (NL)",1.30948865413666
"temf","crop_bad",3,"NL22","NL22","Gelderland",0.934436202049255
"temf","crop_bad",4,"DE14","DE14","Tübingen",0.788241922855377
"temf","crop_bad",5,"DE11","DE11","Stuttgart",0.626502096652985
"temf","crop_bad",6,"DE60","DE60","Hamburg",0.607261121273041
"temf","crop_bad",7,"DE12","DE12","Karlsruhe",0.572598099708557
"temf","crop_bad",8,"DE13","DE13","Freiburg",0.547577619552612
"temf","crop_bad",9,"DEF0","DEF0","Schleswig-Holstein",0.447450935840607
"temf","crop_bad",10,"BE32","BE32","Prov. Hainaut",0.272765845060349
"temf","crop_suit",1,"NL41","NL41","Noord-Brabant",0.00976935029029846
"temf","crop_suit",2,"NL42","NL42","Limburg (NL)",0.00902022514492273
"temf","crop_suit",3,"NL22","NL22","Gelderland",0.0053246458992362
"temf","crop_suit",4,"DE11","DE11","Stuttgart",0.00436655152589083
"temf","crop_suit",5,"DE12","DE12","Karlsruhe",0.00419304892420769
"temf","crop_suit",6,"DE13","DE13","Freiburg",0.00383994425646961
"temf","crop_suit",7,"DE14","DE14","Tübingen",0.00358690647408366
"temf","crop_suit",8,"DE60","DE60","Hamburg",0.00271364324726164
"temf","crop_suit",9,"DEB3","DEB3","Rheinhessen-Pfalz",0.00218571093864739
"temf","crop_suit",10,"BE22","BE22","Prov. Limburg (BE)",0.00179959135130048
"sunf","crop_bad",1,"BE34","BE34","Prov. Luxembourg (BE)",0.0353698171675205
"sunf","crop_bad",2,"DE40","DE40","Brandenburg",0.022630900144577
"sunf","crop_bad",3,"DEE0","DEE0","Sachsen-Anhalt",0.0157887190580368
"sunf","crop_bad",4,"DE30","DE30","Berlin",0.0136914160102606
"sunf","crop_bad",5,"DEC0","DEC0","Saarland",0.010546512901783
"sunf","crop_bad",6,"BE35","BE35","Prov. Namur",0.0100528728216887
"sunf","crop_bad",7,"DE27","DE27","Schwaben",0.00941024906933308
"sunf","crop_bad",8,"DE21","DE21","Oberbayern",0.00896595884114504
"sunf","crop_bad",9,"DED4","DED4","Chemnitz",0.00822202581912279
"sunf","crop_bad",10,"DE25","DE25","Mittelfranken",0.00807828828692436
"sunf","crop_suit",1,"BE34","BE34","Prov. Luxembourg (BE)",0.00208384613506496
"sunf","crop_suit",2,"DE40","DE40","Brandenburg",0.00180353038012981
"sunf","crop_suit",3,"DEE0","DEE0","Sachsen-Anhalt",0.00129869778174907
"sunf","crop_suit",4,"DE30","DE30","Berlin",0.00118663837201893
"sunf","crop_suit",5,"DEC0","DEC0","Saarland",0.000793361978139728
"sunf","crop_suit",6,"DED5","DED5","Leipzig",0.000651266367640346
"sunf","crop_suit",7,"DE25","DE25","Mittelfranken",0.000592939322814345
"sunf","crop_suit",8,"BE35","BE35","Prov. Namur",0.000565899186767638
"sunf","crop_suit",9,"DE26","DE26","Unterfranken",0.000549797608982772
"sunf","crop_suit",10,"DE27","DE27","Schwaben",0.000512376544065773
