"region_id","layer","psi_daily_mean","layer_index","date","region_label"
"NL11","mean.tg_91",0.106274105608463,91,2011-04-01,"Groningen"
"NL11","mean.tg_92",0.553982436656952,92,2011-04-02,"Groningen"
"NL11","mean.tg_93",0.0629026368260384,93,2011-04-03,"Groningen"
"NL11","mean.tg_94",0.00079198571620509,94,2011-04-04,"Groningen"
"NL11","mean.tg_95",0,95,2011-04-05,"Groningen"
"NL11","mean.tg_96",0.381003081798553,96,2011-04-06,"Groningen"
"NL11","mean.tg_97",0.0162019766867161,97,2011-04-07,"Groningen"
"NL11","mean.tg_98",0,98,2011-04-08,"Groningen"
"NL11","mean.tg_99",0,99,2011-04-09,"Groningen"
"NL11","mean.tg_100",0,100,2011-04-10,"Groningen"
"NL11","mean.tg_101",0.0672572553157806,101,2011-04-11,"Groningen"
"NL11","mean.tg_102",0,102,2011-04-12,"Groningen"
"NL11","mean.tg_103",0,103,2011-04-13,"Groningen"
"NL11","mean.tg_104",0,104,2011-04-14,"Groningen"
"NL11","mean.tg_105",0,105,2011-04-15,"Groningen"
"NL11","mean.tg_106",0.0548631884157658,106,2011-04-16,"Groningen"
"NL11","mean.tg_107",0.125435337424278,107,2011-04-17,"Groningen"
"NL11","mean.tg_108",0.160886108875275,108,2011-04-18,"Groningen"
"NL11","mean.tg_109",0.49383071064949,109,2011-04-19,"Groningen"
"NL11","mean.tg_110",0.538157939910889,110,2011-04-20,"Groningen"
"NL11","mean.tg_111",0.650794506072998,111,2011-04-21,"Groningen"
"NL11","mean.tg_112",0.740174949169159,112,2011-04-22,"Groningen"
"NL11","mean.tg_113",0.68193781375885,113,2011-04-23,"Groningen"
"NL11","mean.tg_114",0.750678777694702,114,2011-04-24,"Groningen"
"NL11","mean.tg_115",0.529391825199127,115,2011-04-25,"Groningen"
"NL11","mean.tg_116",0.239904642105103,116,2011-04-26,"Groningen"
"NL11","mean.tg_117",0.217256084084511,117,2011-04-27,"Groningen"
"NL11","mean.tg_118",0.29988157749176,118,2011-04-28,"Groningen"
"NL11","mean.tg_119",0.486178338527679,119,2011-04-29,"Groningen"
"NL11","mean.tg_120",0.283548295497894,120,2011-04-30,"Groningen"
"NL11","mean.tg_121",0.081720657646656,121,2011-05-01,"Groningen"
"NL11","mean.tg_122",0,122,2011-05-02,"Groningen"
"NL11","mean.tg_123",0,123,2011-05-03,"Groningen"
"NL11","mean.tg_124",0,124,2011-05-04,"Groningen"
"NL11","mean.tg_125",0,125,2011-05-05,"Groningen"
"NL11","mean.tg_126",0.475347459316254,126,2011-05-06,"Groningen"
"NL11","mean.tg_127",0.981420338153839,127,2011-05-07,"Groningen"
"NL11","mean.tg_128",1,128,2011-05-08,"Groningen"
"NL11","mean.tg_129",0.656405627727509,129,2011-05-09,"Groningen"
"NL11","mean.tg_130",0.131801769137383,130,2011-05-10,"Groningen"
"NL11","mean.tg_131",0.482557892799377,131,2011-05-11,"Groningen"
"NL11","mean.tg_132",0.221476182341576,132,2011-05-12,"Groningen"
"NL11","mean.tg_133",0.304337978363037,133,2011-05-13,"Groningen"
"NL11","mean.tg_134",0.0897624865174294,134,2011-05-14,"Groningen"
"NL11","mean.tg_135",9.99253097688779e-05,135,2011-05-15,"Groningen"
"NL11","mean.tg_136",0.0040654893964529,136,2011-05-16,"Groningen"
"NL11","mean.tg_137",0.331379741430283,137,2011-05-17,"Groningen"
"NL11","mean.tg_138",0.527005851268768,138,2011-05-18,"Groningen"
"NL11","mean.tg_139",0.238491281867027,139,2011-05-19,"Groningen"
"NL11","mean.tg_140",0.36043107509613,140,2011-05-20,"Groningen"
"NL11","mean.tg_141",0.387335360050201,141,2011-05-21,"Groningen"
"NL11","mean.tg_142",0.415348023176193,142,2011-05-22,"Groningen"
"NL11","mean.tg_143",0.615928590297699,143,2011-05-23,"Groningen"
"NL11","mean.tg_144",0.227377161383629,144,2011-05-24,"Groningen"
"NL11","mean.tg_145",0.411764144897461,145,2011-05-25,"Groningen"
"NL11","mean.tg_146",0.0623432397842407,146,2011-05-26,"Groningen"
"NL11","mean.tg_147",0.0967133194208145,147,2011-05-27,"Groningen"
"NL11","mean.tg_148",0.0312980487942696,148,2011-05-28,"Groningen"
"NL11","mean.tg_149",0.501748204231262,149,2011-05-29,"Groningen"
"NL11","mean.tg_150",0.758259236812592,150,2011-05-30,"Groningen"
"NL11","mean.tg_151",0.212197422981262,151,2011-05-31,"Groningen"
"NL11","mean.tg_457",0,457,2012-04-01,"Groningen"
"NL11","mean.tg_458",0,458,2012-04-02,"Groningen"
"NL11","mean.tg_459",0,459,2012-04-03,"Groningen"
"NL11","mean.tg_460",0,460,2012-04-04,"Groningen"
"NL11","mean.tg_461",0,461,2012-04-05,"Groningen"
"NL11","mean.tg_462",0,462,2012-04-06,"Groningen"
"NL11","mean.tg_463",0,463,2012-04-07,"Groningen"
"NL11","mean.tg_464",0,464,2012-04-08,"Groningen"
"NL11","mean.tg_465",0,465,2012-04-09,"Groningen"
"NL11","mean.tg_466",0,466,2012-04-10,"Groningen"
"NL11","mean.tg_467",0,467,2012-04-11,"Groningen"
"NL11","mean.tg_468",0,468,2012-04-12,"Groningen"
"NL11","mean.tg_469",0,469,2012-04-13,"Groningen"
"NL11","mean.tg_470",0,470,2012-04-14,"Groningen"
"NL11","mean.tg_471",0,471,2012-04-15,"Groningen"
"NL11","mean.tg_472",0,472,2012-04-16,"Groningen"
"NL11","mean.tg_473",0,473,2012-04-17,"Groningen"
"NL11","mean.tg_474",0,474,2012-04-18,"Groningen"
"NL11","mean.tg_475",0,475,2012-04-19,"Groningen"
"NL11","mean.tg_476",0,476,2012-04-20,"Groningen"
"NL11","mean.tg_477",0,477,2012-04-21,"Groningen"
"NL11","mean.tg_478",0,478,2012-04-22,"Groningen"
"NL11","mean.tg_479",0,479,2012-04-23,"Groningen"
"NL11","mean.tg_480",0,480,2012-04-24,"Groningen"
"NL11","mean.tg_481",0.0355691164731979,481,2012-04-25,"Groningen"
"NL11","mean.tg_482",0.119615875184536,482,2012-04-26,"Groningen"
"NL11","mean.tg_483",0.00618552090600133,483,2012-04-27,"Groningen"
"NL11","mean.tg_484",0.002889672992751,484,2012-04-28,"Groningen"
"NL11","mean.tg_485",0.250412106513977,485,2012-04-29,"Groningen"
"NL11","mean.tg_486",0.481438398361206,486,2012-04-30,"Groningen"
"NL11","mean.tg_487",0.404422670602798,487,2012-05-01,"Groningen"
"NL11","mean.tg_488",0.370863854885101,488,2012-05-02,"Groningen"
"NL11","mean.tg_489",0.212566077709198,489,2012-05-03,"Groningen"
"NL11","mean.tg_490",0.00565971713513136,490,2012-05-04,"Groningen"
"NL11","mean.tg_491",0,491,2012-05-05,"Groningen"
"NL11","mean.tg_492",0,492,2012-05-06,"Groningen"
"NL11","mean.tg_493",0,493,2012-05-07,"Groningen"
"NL11","mean.tg_494",0.00442747259512544,494,2012-05-08,"Groningen"
"NL11","mean.tg_495",0.112722247838974,495,2012-05-09,"Groningen"
"NL11","mean.tg_496",0.268097847700119,496,2012-05-10,"Groningen"
"NL11","mean.tg_497",0.416370034217834,497,2012-05-11,"Groningen"
"NL11","mean.tg_498",0,498,2012-05-12,"Groningen"
"NL11","mean.tg_499",0,499,2012-05-13,"Groningen"
"NL11","mean.tg_500",0.0669693574309349,500,2012-05-14,"Groningen"
"NL11","mean.tg_501",0,501,2012-05-15,"Groningen"
"NL11","mean.tg_502",0,502,2012-05-16,"Groningen"
"NL11","mean.tg_503",0.000126326631288975,503,2012-05-17,"Groningen"
"NL11","mean.tg_504",0.366991698741913,504,2012-05-18,"Groningen"
"NL11","mean.tg_505",0.541216433048248,505,2012-05-19,"Groningen"
"NL11","mean.tg_506",0.685681641101837,506,2012-05-20,"Groningen"
"NL11","mean.tg_507",0.896128833293915,507,2012-05-21,"Groningen"
"NL11","mean.tg_508",0.998564720153809,508,2012-05-22,"Groningen"
"NL11","mean.tg_509",0.837410926818848,509,2012-05-23,"Groningen"
"NL11","mean.tg_510",1,510,2012-05-24,"Groningen"
"NL11","mean.tg_511",0.905533909797668,511,2012-05-25,"Groningen"
"NL11","mean.tg_512",0.865488886833191,512,2012-05-26,"Groningen"
"NL11","mean.tg_513",0.898566246032715,513,2012-05-27,"Groningen"
"NL11","mean.tg_514",0.774734318256378,514,2012-05-28,"Groningen"
"NL11","mean.tg_515",0.334464728832245,515,2012-05-29,"Groningen"
"NL11","mean.tg_516",0.139080807566643,516,2012-05-30,"Groningen"
"NL11","mean.tg_517",0,517,2012-05-31,"Groningen"
"NL11","mean.tg_822",0,822,2013-04-01,"Groningen"
"NL11","mean.tg_823",0,823,2013-04-02,"Groningen"
"NL11","mean.tg_824",0,824,2013-04-03,"Groningen"
"NL11","mean.tg_825",0,825,2013-04-04,"Groningen"
"NL11","mean.tg_826",0,826,2013-04-05,"Groningen"
"NL11","mean.tg_827",0,827,2013-04-06,"Groningen"
"NL11","mean.tg_828",0,828,2013-04-07,"Groningen"
"NL11","mean.tg_829",0,829,2013-04-08,"Groningen"
"NL11","mean.tg_830",0,830,2013-04-09,"Groningen"
"NL11","mean.tg_831",0,831,2013-04-10,"Groningen"
"NL11","mean.tg_832",0,832,2013-04-11,"Groningen"
"NL11","mean.tg_833",0,833,2013-04-12,"Groningen"
"NL11","mean.tg_834",0,834,2013-04-13,"Groningen"
"NL11","mean.tg_835",0.399023294448853,835,2013-04-14,"Groningen"
"NL11","mean.tg_836",0.326308697462082,836,2013-04-15,"Groningen"
"NL11","mean.tg_837",0.191444709897041,837,2013-04-16,"Groningen"
"NL11","mean.tg_838",0.381795346736908,838,2013-04-17,"Groningen"
"NL11","mean.tg_839",0.313775479793549,839,2013-04-18,"Groningen"
"NL11","mean.tg_840",0,840,2013-04-19,"Groningen"
"NL11","mean.tg_841",0,841,2013-04-20,"Groningen"
"NL11","mean.tg_842",0,842,2013-04-21,"Groningen"
"NL11","mean.tg_843",0.00031638317159377,843,2013-04-22,"Groningen"
"NL11","mean.tg_844",0.0434758067131042,844,2013-04-23,"Groningen"
"NL11","mean.tg_845",0.424199819564819,845,2013-04-24,"Groningen"
"NL11","mean.tg_846",0.516129195690155,846,2013-04-25,"Groningen"
"NL11","mean.tg_847",0,847,2013-04-26,"Groningen"
"NL11","mean.tg_848",0,848,2013-04-27,"Groningen"
"NL11","mean.tg_849",0,849,2013-04-28,"Groningen"
"NL11","mean.tg_850",0,850,2013-04-29,"Groningen"
"NL11","mean.tg_851",0,851,2013-04-30,"Groningen"
"NL11","mean.tg_852",0,852,2013-05-01,"Groningen"
"NL11","mean.tg_853",0.0195166412740946,853,2013-05-02,"Groningen"
"NL11","mean.tg_854",0.125716954469681,854,2013-05-03,"Groningen"
"NL11","mean.tg_855",0.156769052147865,855,2013-05-04,"Groningen"
"NL11","mean.tg_856",0.206756800413132,856,2013-05-05,"Groningen"
"NL11","mean.tg_857",0.547599077224731,857,2013-05-06,"Groningen"
"NL11","mean.tg_858",0.594137847423553,858,2013-05-07,"Groningen"
"NL11","mean.tg_859",0.00801683869212866,859,2013-05-08,"Groningen"
"NL11","mean.tg_860",0.326409995555878,860,2013-05-09,"Groningen"
"NL11","mean.tg_861",0.228489145636559,861,2013-05-10,"Groningen"
"NL11","mean.tg_862",1.84357868420193e-05,862,2013-05-11,"Groningen"
"NL11","mean.tg_863",0.0122946640476584,863,2013-05-12,"Groningen"
"NL11","mean.tg_864",0.0013108755229041,864,2013-05-13,"Groningen"
"NL11","mean.tg_865",0,865,2013-05-14,"Groningen"
"NL11","mean.tg_866",0.183362603187561,866,2013-05-15,"Groningen"
"NL11","mean.tg_867",0.0128681557253003,867,2013-05-16,"Groningen"
"NL11","mean.tg_868",0.00522689195349813,868,2013-05-17,"Groningen"
"NL11","mean.tg_869",0.0228191632777452,869,2013-05-18,"Groningen"
"NL11","mean.tg_870",0.112117283046246,870,2013-05-19,"Groningen"
"NL11","mean.tg_871",0.169927701354027,871,2013-05-20,"Groningen"
"NL11","mean.tg_872",0.00284932344220579,872,2013-05-21,"Groningen"
"NL11","mean.tg_873",0,873,2013-05-22,"Groningen"
"NL11","mean.tg_874",0,874,2013-05-23,"Groningen"
"NL11","mean.tg_875",0,875,2013-05-24,"Groningen"
"NL11","mean.tg_876",0,876,2013-05-25,"Groningen"
"NL11","mean.tg_877",0,877,2013-05-26,"Groningen"
"NL11","mean.tg_878",0.191566631197929,878,2013-05-27,"Groningen"
"NL11","mean.tg_879",0.293778508901596,879,2013-05-28,"Groningen"
"NL11","mean.tg_880",0.168315663933754,880,2013-05-29,"Groningen"
"NL11","mean.tg_881",0.347404330968857,881,2013-05-30,"Groningen"
"NL11","mean.tg_882",0.382392883300781,882,2013-05-31,"Groningen"
"NL11","mean.tg_1187",0.0387401208281517,1187,2014-04-01,"Groningen"
"NL11","mean.tg_1188",0.0151088461279869,1188,2014-04-02,"Groningen"
"NL11","mean.tg_1189",0.0968065708875656,1189,2014-04-03,"Groningen"
"NL11","mean.tg_1190",0.0463287234306335,1190,2014-04-04,"Groningen"
"NL11","mean.tg_1191",0.112872056663036,1191,2014-04-05,"Groningen"
"NL11","mean.tg_1192",0.226274088025093,1192,2014-04-06,"Groningen"
"NL11","mean.tg_1193",0,1193,2014-04-07,"Groningen"
